video_url,user_url,username,title,view_num,created_at,shortdesc,collected_at
/watch?v=a9yO-K8mwL0&pp=ygUQY2FyYm9uIGZvb3RwcmludA%3D%3D,/@BBCNews,BBC News,Climate Change: Your carbon footprint explained - BBC News,356K,4 years,"Tackling climate change is a big task, but there are clear ways of cutting your contribution to carbon emissions, also known as ...",2026-01-21 22:34:17.203443
/watch?v=8q7_aV8eLUE&pp=ygUQY2FyYm9uIGZvb3RwcmludA%3D%3D,/@simpleshoworiginal,simpleshow,simpleshow explains the Carbon Footprint,988K,13 years,"Carbon footprint for kids! You've probably heard about climate change and reducing your carbon footprint, but what is it exactly?",2026-01-21 22:34:17.205589
/watch?v=jRQEi-C5GDg&pp=ygUQY2FyYm9uIGZvb3RwcmludA%3D%3D,/@skunkbear,NPR's Skunk Bear,The Carbon Footprint Of A Sandwich,253K,8 years,Follow the path of a BLT from field to plate. ↓↓ Links & Info ↓↓ Learn more here: ...,2026-01-21 22:34:17.207084
/watch?v=X11xoGeX0s8&pp=ygUQY2FyYm9uIGZvb3RwcmludA%3D%3D,/@CNBC,CNBC,Why Tracking Carbon Emissions Is Suddenly A Billion Dollar Opportunity,145K,4 years,"As extreme weather events roiled communities around the world this summer, businesses and governments are feeling more ...",2026-01-21 22:34:17.208757
/watch?v=5sgRTbTm91Q&pp=ygUQY2FyYm9uIGZvb3RwcmludA%3D%3D,/@SecondThought,Second Thought,"Your ""Carbon Footprint"" Is A Scam",679K,3 years,"Your ""Carbon Footprint"" Is A Scam – Second Thought SUBSCRIBE HERE: http://bit.ly/2nFsvTS New video every Friday! Citations ...",2026-01-21 22:34:17.209969
/watch?v=vqZVCEnY-Us&pp=ygUQY2FyYm9uIGZvb3RwcmludA%3D%3D,/@DWPlanetA,DW Planet A,Why Big Oil loves to talk about your carbon footprint,109K,4 years,Everybody keeps telling us to cut our carbon footprints. So how guilty should I feel about my personal emissions? And what's Big ...,2026-01-21 22:34:17.213807
/watch?v=fyXtJUd2c3Q&pp=ygUQY2FyYm9uIGZvb3RwcmludA%3D%3D,/@FinancialTimes,Financial Times,"AI can be a climate warrior, but what about its carbon footprint? | FT Climate Capital",90K,2 years,Can we harness AI's unique capabilities as a climate warrior? Billions are being poured into programmes aiming to do just that.,2026-01-21 22:34:17.214992
/watch?v=U9cjO_Y7tGw&pp=ygUQY2FyYm9uIGZvb3RwcmludA%3D%3D,/@Gittemary,Gittemary Johansen,"the EASIEST ways to cut your carbon footprint in half // effective, lazy, climate action",19K,8 months,learn more about where your bank invests your money here: https://www.youtube.com/watch?v=3azVJM_ukto&t=397s find all ...,2026-01-21 22:34:17.216638
/watch?v=63hAHbkzJG4&pp=ygUQY2FyYm9uIGZvb3RwcmludA%3D%3D,/@TEDx,TEDx Talks,Three Steps to Cut Your Carbon Footprint 60% Today | Jackson Carpenter | TEDxAsheville,264K,8 years,Not all carbon is created equal. Writer Jackson Carpenter argues that the power to stop climate change rests on recognizing ...,2026-01-21 22:34:17.218339
/watch?v=BRz7aJzW1rA&pp=ygUQY2FyYm9uIGZvb3RwcmludA%3D%3D,/@cgtn,CGTN,CGTN documentary Human Carbon Footprint focuses on a sustainable future,6.2K,3 years,For more: ...,2026-01-21 22:34:17.219459
/watch?v=YseZXKfT_yY&pp=ygUQY2FyYm9uIGZvb3RwcmludA%3D%3D,/@katbrink3618,Kat Brink,Simple Animated Video: What is a carbon footprint? What can you do about yours?,142K,11 years,This short and fun video explains what a carbon footprint is and how you can reduce yours to minimise your impact on the planet.,2026-01-21 22:34:17.220549
/watch?v=71KviG1pacU&pp=ygUQY2FyYm9uIGZvb3RwcmludA%3D%3D,/@CBCTheNational,CBC News: The National,Everyday choices to reduce your carbon footprint,32K,7 years,"When it comes to green living, what everyday choices can you make to reduce your carbon footprint? CBC's David Common takes ...",2026-01-21 22:34:17.222149
/watch?v=J_iDcKDAwbA&pp=ygUQY2FyYm9uIGZvb3RwcmludA%3D%3D,/@Planet_Justice,Planet Justice,How to Reduce Your Carbon Footprint,41K,3 years,How #to #reduce #carbon #footprint Video is about how to Reduce Your Carbon Footprint. A carbon footprint is the total amount of ...,2026-01-21 22:34:17.223417
/watch?v=di7MfYt4noE&pp=ygUQY2FyYm9uIGZvb3RwcmludA%3D%3D,/@theinvadingsea,The Invading Sea,What is a Carbon Footprint?,1.7K,1 year,"A carbon footprint is the total amount of greenhouse gases, especially carbon dioxide, that are released into the atmosphere by ...",2026-01-21 22:34:17.224512
/watch?v=Dwkh46MZuIc&pp=ygUQY2FyYm9uIGZvb3RwcmludA%3D%3D,/@fuseschool,FuseSchool - Global Education,What Are Carbon Footprints | Environmental Chemistry | Chemistry | FuseSchool,249K,9 years,What Are Carbon Footprints | Environmental Chemistry | Chemistry | FuseSchool You can reduce your own contribution to climate ...,2026-01-21 22:34:17.226221
/watch?v=Nnky_oD8YLg&pp=ygUQY2FyYm9uIGZvb3RwcmludA%3D%3D,/@sustainlife,Sustain Life (now part of Workiva),Webinar: How to calculate your company’s carbon footprint,37K,2 years,"Navigating your company's environmental responsibilities can be challenging, especially when it's crucial to understand the full ...",2026-01-21 22:34:17.227863
/watch?v=bYb7YLsXvzg&pp=ygUQY2FyYm9uIGZvb3RwcmludA%3D%3D,/@learnsustainability,Sustainability Illustrated,Your Carbon Footprint Explained | How to Calculate and Reduce It?,364K,5 years,The idea of a personal carbon footprint was popularized by a large advertising campaign of the fossil fuel company BP in 2005.,2026-01-21 22:34:17.229930
/watch?v=Flo-4KaY9XY&pp=ygUQY2FyYm9uIGZvb3RwcmludNIHCQmHCgGHKiGM7w%3D%3D,/@Newsweek,Newsweek,How to Calculate Your Carbon Footprint,16K,2 years,Measuring your carbon footprint is an important step in understanding and reducing your environmental impact. By quantifying the ...,2026-01-21 22:34:17.231221
/watch?v=DKDq1RMHscQ&pp=ygUQY2FyYm9uIGZvb3RwcmludA%3D%3D,/@mocomikids,MocomiKids,What is Carbon Footprint? - Environmental Science for Kids | Educational Videos by Mocomi,253K,13 years,https://mocomi.com/ presents: What is Carbon Footprint? Do you know what is carbon footprint and how to reduce it? Your Carbon ...,2026-01-21 22:34:17.232832
/watch?v=rByHiqc0K9k&pp=ygUQY2FyYm9uIGZvb3RwcmludA%3D%3D,/@GreenMtnEnergy,Green Mountain Energy,How to Lower Your Carbon Footprint — Green Mountain Energy,30K,3 years,"What actions make the biggest difference in reducing your carbon footprint? When you look at the data, you might be surprised.",2026-01-21 22:34:17.233949
/watch?v=5vsfBuF09Ik&pp=ygUQY2FyYm9uIGZvb3RwcmludA%3D%3D,/@GREENGENERATION2025,GREEN GENERATION,THE CARBON FOOTPRINT,2.8K,9 months,"Dinosaurs left footprints on Earth that are imprinted on the ground. The footprint that mankind will leave is made of cement, dirt ...",2026-01-21 22:34:25.964380
/watch?v=KdiA12KeSL0&pp=ygUQY2FyYm9uIGZvb3RwcmludA%3D%3D,/@HotMessPBS,Hot Mess,The Best Ways to Reduce Your Carbon Footprint | Hot Mess 🌎,280K,7 years,Viewers like you help make PBS (Thank you ) . Support your local PBS Member Station here: https://to.pbs.org/DonateMESS ...,2026-01-21 22:34:25.966906
/watch?v=4eZmg4R3oZM&pp=ygUQY2FyYm9uIGZvb3RwcmludA%3D%3D,/@VoiceOfPlanet,The Planet Voice,Carbon Footprint | How to Measure and Minimize Your Impact | The Planet Voice,2.8K,1 year,"Learn what a carbon footprint is and why it matters for our planet. In this video, we'll break down how to calculate your carbon ...",2026-01-21 22:34:25.968178
/watch?v=GZbj4lMSmHo&pp=ygUQY2FyYm9uIGZvb3RwcmludA%3D%3D,/@bluestudiosEDU,Blue Studios EDU,What's a Carbon Footprint? Environmental Science for Kids!,20K,2 years,Have you ever wondered about your carbon footprint? The average person in the United States has a carbon footprint of about 20 ...,2026-01-21 22:34:25.971985
/watch?v=NSjMAoAHwWs&pp=ygUQY2FyYm9uIGZvb3RwcmludA%3D%3D,/@Astronergy,Astronergy,Deep Dive: Product Carbon Footprint,779,2 years,"At Astronergy, our commitment to sustainability has been an ongoing journey, and we're proud to have secured various global ...",2026-01-21 22:34:25.973438
/watch?v=6r06-dpRsEg&pp=ygUQY2FyYm9uIGZvb3RwcmludA%3D%3D,/@TEDx,TEDx Talks,How to reduce your carbon footprint by 80% | Matthew Tolley | TEDxTelford,79K,6 years,Governments worldwide have committed to a target of reducing Carbon emissions by 80% by 2050. European countries are ...,2026-01-21 22:34:25.975233
/watch?v=hoiEG839hYc&pp=ygUQY2FyYm9uIGZvb3RwcmludA%3D%3D,/@afzaalchemist,Afzaal Chemist,What is a Carbon Footprint? Causes | Effects | How to Measure and Reduce Carbon Footprint?,2.7K,9 months,"In this fully Animated lecture, you will learn about What is a carbon footprint and why does it matter? In this video, we explore the ...",2026-01-21 22:34:25.978442
/watch?v=qZ-Mqv_OIOg&pp=ygUQY2FyYm9uIGZvb3RwcmludA%3D%3D,/@SRPConnect,Salt River Project,What is a Carbon Footprint?,735,2 years,"The Valley of the Sun is a great place to invest in solar energy. By 2025, SRP is doubling its solar generation. This means nearly ...",2026-01-21 22:34:25.979616
/watch?v=ocqu-QD4jGc&pp=ygUQY2FyYm9uIGZvb3RwcmludA%3D%3D,/@bbclearningenglish,BBC Learning English,What does 'carbon footprint' mean?,50K,6 years,What does the English phrase 'carbon footprint' mean? Improve your English vocabulary with this free 3-minute English language ...,2026-01-21 22:34:25.981789
/watch?v=fjNacsyp28s&pp=ygUQY2FyYm9uIGZvb3RwcmludA%3D%3D,/@BBCNews,BBC News,How big is AI's carbon footprint? | BBC News,44K,1 year,Big tech firms have scrambled to add AI-powered services since ChatGPT burst onto the scene. They use far more power than ...,2026-01-21 22:34:25.983526
/watch?v=D8-eCbDbu-8&pp=ygUQY2FyYm9uIGZvb3RwcmludA%3D%3D,/@DiscoveryTV,Discovery UK,Carbon Footprint,104K,16 years,"Commissioned by Discovery Networks EMEA, and created by Jellyfish Pictures, the film is an animated time lapse following the ...",2026-01-21 22:34:25.984651
/shorts/S9-uNOET_PY,/@SusanaSkies,Susana Skies,WEF’s Individual Carbon Footprint Tracker,2.8K,2 years,The World Economic Forum is working on the creation of an individual carbon foot print tracker. Do you like this idea?,2026-01-21 22:34:25.985787
/shorts/Bn0pmguADy8,/@TogetherDeclaration,Together,"DIGITAL IDs: ""Individual carbon footprint tracker!""",2.1K,6 months,"We've seen vaccine passports, we've seen pushes for carbon footprint trackers and now we're seeing a huge push for digital IDs ...",2026-01-21 22:34:25.987606
/shorts/q2b-qBeotvE,/@anjalitalks4466,Anjali Talks,What is Carbon footprint 👣?#carbonfootprint #ecology #environment #upsc #exam#carbonemissions,62K,2 years,co2 emissions carbon offsets net zero emissions carbon footprint assessment calculating your carbon footprint carbon footprint ...,2026-01-21 22:34:25.988983
